# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128 256
2.47 None 0   None 0   None 0   4.08904787036 0   None 0
2.474 None 0   None 0   None 0   None 0   11.4591628841 0
2.491 None 0   None 0   None 0   None 0   11.5155591425 0
2.5 None 0   None 0   4.94265372276 0   5.5989406746 0   None 0
2.508 None 0   None 0   None 0   None 0   7.75108471088 0
2.52 None 0   1.55300648047 0   None 0   None 0   None 0
2.525 None 0   None 0   None 0   None 0   6.56577844226 0
2.53 None 0   None 0   None 0   5.52008057939 0   None 0
2.542 None 0   None 0   None 0   None 0   11.5182857631 0
2.55 None 0   None 0   6.50667130872 0   None 0   None 0
2.559 None 0   None 0   None 0   None 0   12.0931299245 0
2.56 None 0   None 0   None 0   7.72066213046 0   None 0
2.576 None 0   None 0   None 0   None 0   9.75327087797 0
2.59 None 0   None 0   None 0   4.04028316146 0   None 0
2.593 None 0   None 0   None 0   None 0   9.27294417881 0
2.6 1.11197004164 0   None 0   4.75124290334 0   None 0   None 0
2.61 None 0   1.59376118215 0   None 0   None 0   9.3859983536 0
2.62 None 0   None 0   None 0   3.77174581741 0   None 0
